,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,type_right,type_left,type
205,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
206,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
207,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
208,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
209,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
210,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
211,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
212,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
213,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
214,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
215,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
216,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
217,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
218,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
219,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
220,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
221,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
222,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
223,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
224,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
225,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
226,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
227,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
228,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
229,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
230,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
231,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
232,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
233,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
234,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
235,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
236,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
237,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
238,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
239,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
240,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
241,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
242,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
243,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
244,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
245,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
246,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
247,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
248,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
249,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
250,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
251,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
252,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
253,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
254,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
255,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
256,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
257,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
258,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
259,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
260,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
261,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
262,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
263,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
264,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
265,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
266,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
267,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
268,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
269,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
270,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
271,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
272,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
273,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
274,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
275,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
276,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
277,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
278,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
279,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
280,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
281,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
282,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
283,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
284,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
285,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
286,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
287,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
288,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
